ID,Phylum
MAASV23,Firmicutes
MAASV30,Firmicutes
MAASV55,Firmicutes
MAASV25,Firmicutes
MAASV17,Firmicutes
MAASV14,Firmicutes
MAASV50,Firmicutes
MAASV70,Firmicutes
MAASV68,Firmicutes
MAASV42,Firmicutes
MAASV53,Firmicutes
MAASV26,Firmicutes
MAASV46,Firmicutes
MAASV31,Firmicutes
MAASV186,Firmicutes
MAASV81,Firmicutes
MAASV41,Firmicutes
MAASV54,Firmicutes
MAASV99,Firmicutes
MAASV216,Firmicutes
MAASV338,Firmicutes
MAASV52,Firmicutes
MAASV49,Firmicutes
MAASV251,Firmicutes
MAASV56,Firmicutes
MAASV133,Firmicutes
MAASV237,Firmicutes
MAASV208,Firmicutes
MAASV33,Firmicutes
MAASV226,Firmicutes
MAASV410,Firmicutes
MAASV350,Firmicutes
MAASV250,Firmicutes
MAASV361,Firmicutes
MAASV620,Firmicutes
MAASV79,Firmicutes
MAASV454,Firmicutes
MAASV496,Firmicutes
MAASV317,Firmicutes
MAASV707,Firmicutes
MAASV368,Firmicutes
MAASV541,Firmicutes
MAASV737,Firmicutes
MAASV758,Firmicutes
MAASV398,Firmicutes
MAASV804,Firmicutes
MAASV831,Firmicutes
MAASV599,Firmicutes
MAASV584,Firmicutes
MAASV882,Firmicutes
MAASV538,Firmicutes
MAASV932,Firmicutes
MAASV933,Firmicutes
MAASV931,Firmicutes
MAASV1045,Firmicutes
MAASV769,Firmicutes
MAASV1061,Firmicutes
MAASV1071,Firmicutes
MAASV408,Firmicutes
MAASV728,Firmicutes
MAASV725,Firmicutes
MAASV1109,Firmicutes
MAASV1131,Firmicutes
MAASV1264,Firmicutes
MAASV1259,Firmicutes
MAASV1257,Firmicutes
MAASV1261,Firmicutes
MAASV1260,Firmicutes
MAASV1335,Firmicutes
MAASV1304,Firmicutes
MAASV1384,Firmicutes
MAASV1429,Firmicutes
MAASV1502,Firmicutes
MAASV1501,Firmicutes
MAASV1505,Firmicutes
MAASV1015,Firmicutes
MAASV954,Firmicutes
MAASV1571,Firmicutes
MAASV1614,Firmicutes
