ID,rrn,doubling time
281,2,1.782408565
313,2,1.769771739
569,3.88,1.765534746
58,1,1.761285273
330,2,1.744161096
314,2,1.739848103
759,5.83,1.735522177
15,1,1.722466024
836,8.5,1.709290636
153,1,1.700439718
681,5,1.700439718
45,1,1.695993813
547,3.32,1.682573297
179,1.42,1.678071905
691,5.16,1.673556424
442,2.71,1.66448284
495,3,1.659924558
357,2.25,1.650764559
362,2.25,1.650764559
703,5.16,1.646376181
443,2.71,1.632268215
678,5,1.632268215
585,4,1.62966299
152,1,1.622930351
349,2.19,1.613531653
183,1.42,1.599317794
496,3,1.599317794
171,1,1.584962501
247,2,1.584962501
360,2.25,1.584962501
446,2.75,1.584962501
602,4,1.584962501
849,9,1.584962501
867,10,1.584962501
322,2,1.575312331
773,6,1.575312331
166,1,1.570462931
698,5.16,1.568652154
850,9,1.565597176
690,5.16,1.560714954
92,1,1.545968369
498,3,1.541019153
130,1,1.5360529
614,4,1.531069493
24,1,1.516015147
364,2.25,1.50589093
63,1,1.485426827
689,5,1.485426827
754,5.5,1.480265122
134,1,1.475084883
65,1,1.469885976
597,4,1.469885976
218,2,1.459431619
154,1,1.448900951
645,4.5,1.448900951
885,10.62,1.432959407
692,5.16,1.422233001
562,3.75,1.416839742
567,3.78,1.40599236
303,2,1.40053793
628,4.33,1.389566812
368,2.29,1.372952098
269,2,1.361768359
423,2.61,1.361768359
438,2.7,1.360202315
481,3,1.35614381
59,1,1.350497247
796,6.86,1.344828497
126,1,1.321928095
407,2.5,1.321928095
520,3,1.321928095
629,4.33,1.321928095
718,5.16,1.321928095
852,9.27,1.321928095
270,2,1.310340121
333,2,1.304511042
810,7,1.304511042
72,1,1.298658316
833,8,1.298658316
182,1.42,1.292781749
234,2,1.292781749
125,1,1.286881148
778,6,1.269033146
224,2,1.263034406
272,2,1.263034406
345,2.04,1.263034406
551,3.5,1.263034406
820,7.33,1.263034406
200,1.82,1.257010618
352,2.25,1.257010618
409,2.5,1.257010618
586,4,1.23878686
813,7,1.23878686
603,4,1.220329955
292,2,1.214124805
610,4,1.214124805
82,1,1.207892852
389,2.5,1.207892852
505,3,1.207892852
803,7,1.207892852
539,3.31,1.201633861
753,5.5,1.201633861
519,3,1.189033824
273,2,1.137503524
596,4,1.137503524
121,1,1.124328135
217,2,1.124328135
97,1,1.117695043
48,1,1.111031312
90,1,1.111031312
869,10,1.10433666
75,1,1.070389328
384,2.38,1.070389328
467,3,1.070389328
518,3,1.070389328
550,3.5,1.070389328
679,5,1.070389328
501,3,1.056583528
717,5.16,1.056583528
721,5.16,1.049630768
762,5.87,1.028569152
835,8.5,1.028569152
529,3.07,1.014355293
386,2.5,1.007195501
23,1,1
326,2,1
342,2.04,1
343,2.04,1
344,2.04,1
439,2.7,1
478,3,1
479,3,1
480,3,1
497,3,1
517,3,1
527,3,1
601,4,1
618,4,1
623,4,1
707,5.16,1
834,8,1
859,9.41,1
124,1,0.992768431
530,3.11,0.992768431
199,1.67,0.98550043
190,1.5,0.97819563
294,2,0.97819563
769,6,0.970853654
138,1,0.963474124
607,4,0.963474124
574,4,0.956056652
821,7.33,0.956056652
146,1,0.948600847
555,3.5,0.948600847
660,4.93,0.948600847
755,5.5,0.948600847
889,15,0.948600847
83,1,0.945164815
631,4.33,0.945164815
832,8,0.941106311
89,1,0.925999419
321,2,0.925999419
399,2.5,0.925999419
268,2,0.90303827
503,3,0.90303827
513,3,0.90303827
107,1,0.879705766
253,2,0.879705766
267,2,0.879705766
490,3,0.871843649
741,5.33,0.871843649
434,2.67,0.867162303
798,6.86,0.861985493
129,1,0.855989697
447,2.75,0.847996907
533,3.18,0.847996907
763,5.88,0.847996907
772,6,0.847996907
686,5,0.831877241
145,1,0.82374936
264,2,0.82374936
581,4,0.82374936
560,3.62,0.817318797
46,1,0.815575429
312,2,0.807354922
317,2,0.807354922
195,1.64,0.790772038
300,2,0.790772038
688,5,0.790772038
311,2,0.782408565
274,2,0.773996325
616,4,0.773996325
181,1.42,0.765534746
433,2.67,0.765534746
504,3,0.765534746
571,4,0.765534746
702,5.16,0.765534746
887,15,0.765534746
308,2,0.757023247
779,6,0.757023247
302,2,0.739848103
730,5.27,0.739848103
609,4,0.731183242
248,2,0.722466024
671,5,0.722466024
888,15,0.722466024
538,3.31,0.713695815
858,9.41,0.713695815
726,5.27,0.662965013
325,2,0.659924558
522,3,0.650764559
319,2,0.641546029
440,2.7,0.59454855
549,3.47,0.59454855
625,4.33,0.59454855
878,10.01,0.59454855
110,1,0.584962501
254,2,0.584962501
324,2,0.584962501
450,2.98,0.584962501
502,3,0.584962501
568,3.85,0.584962501
575,4,0.584962501
767,5.97,0.584962501
775,6,0.584962501
528,3,0.575312331
120,1,0.565597176
280,2,0.565597176
514,3,0.555816155
758,5.8,0.555816155
369,2.29,0.545968369
187,1.5,0.526068812
271,2,0.526068812
508,3,0.526068812
512,3,0.526068812
207,1.88,0.516015147
128,1,0.50589093
235,2,0.50589093
189,1.5,0.485426827
310,2,0.485426827
338,2,0.485426827
697,5.16,0.485426827
747,5.38,0.468148836
684,5,0.443606651
790,6.83,0.443606651
156,1,0.432959407
725,5.27,0.432959407
282,2,0.411426246
395,2.5,0.411426246
405,2.5,0.411426246
