#OTU ID,Y,Y20,Y20G,Y4,Y80,Y80G,taxonomy,rrn,rarity group
ASV_16,2408,0,82,53,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter,1.18,CRT
ASV_160,4,56,0,1,268,1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,3.18,CRT
ASV_161,0,1,197,41,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,#N/A,#N/A
ASV_162,28,187,9,13,337,0,k__Bacteria,#N/A,#N/A
ASV_163,5,0,0,458,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,#N/A,#N/A
ASV_164,0,210,0,1,1,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces;s__Agromyces_ulmi,10.65,MT
ASV_165,75,144,0,1,0,3,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter,5.95,CRT
ASV_166,8,0,36,163,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,2.95,CRT
ASV_167,312,0,5,125,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,#N/A,#N/A
ASV_168,48,0,27,117,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_freundii,#N/A,#N/A
ASV_169,680,510,12,24,0,3,k__Bacteria,10.65,CRT
ASV_17,192,1886,103,772,0,151,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas_sp._LLH-3,2.5,CRT
ASV_170,0,0,0,184,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,#N/A,#N/A
